subject,age,type,percent,sex
temple056,18.47,movie,0.680555556,M
temple056,18.47,stat,0.59375,M
temple057,20.61,movie,0.413820583,F
temple057,20.61,stat,0.625,F
temple058,21.49,movie,0.596197632,F
temple058,21.49,stat,0.71875,F
temple059,20.26,movie,0.419626594,F
temple059,20.26,stat,1,F
temple060,10.07,movie,0.175432605,M
temple060,10.07,stat,0.59375,M
temple063,10.72,movie,0.222677596,F
temple063,10.72,stat,0.78125,F
temple064,7.36,movie,0.066256831,M
temple064,7.36,stat,0.46875,M
temple065,9.45,movie,0.202527322,F
temple065,9.45,stat,0.4375,F
temple066,9.97,movie,0.349499089,F
temple066,9.97,stat,0.75,F
temple068,9.76,movie,0.362704918,M
temple068,9.76,stat,0.625,M
temple069,9.67,movie,0.324225865,M
temple069,9.67,stat,0.5,M
temple070,7.47,movie,0.139458106,M
temple070,7.47,stat,0.5,M
temple071,27.31,movie,0.427709472,M
temple071,27.31,stat,1,M
temple072,19.53,movie,0.536202186,F
temple072,19.53,stat,0.65625,F
temple073,32.17,movie,0.487021858,M
temple073,32.17,stat,1,M
temple074,20.21,movie,0.251138434,F
temple074,20.21,stat,1,F
temple075,20.37,movie,0.198770492,M
temple075,20.37,stat,0.9375,M
temple076,21.25,movie,0.323656648,M
temple076,21.25,stat,1,M
temple079,10.79,movie,0.166552823,M
temple079,10.79,stat,1,M
temple082,11.37,movie,0.244763206,M
temple082,11.37,stat,0.4375,M
temple083,12.89,movie,0.266848816,M
temple083,12.89,stat,1,M
temple084,8.77,movie,0.368966302,F
temple084,8.77,stat,0.4375,F
temple085,11.46,movie,0.213228597,F
temple085,11.46,stat,0.34375,F
temple087,23.23,movie,0.531193078,F
temple087,23.23,stat,0.9375,F
temple088,21.85,movie,0.545081967,F
temple088,21.85,stat,1,F
temple089,19.34,movie,0.408128415,F
temple089,19.34,stat,1,F
temple090,12.52,movie,0.420765027,F
temple090,12.52,stat,1,F
temple091,11.28,movie,0.347563752,F
temple091,11.28,stat,0.9375,F
temple092,8.87,movie,0.090846995,F
temple092,8.87,stat,0.375,F
temple093,10.28,movie,0.469945355,M
temple093,10.28,stat,0.90625,M
temple094,8.38,movie,0.338114754,F
temple094,8.38,stat,1,F
temple095,8.04,movie,0.058060109,M
temple095,8.04,stat,0.6875,M
temple096,11.4,movie,0.242258652,M
temple096,11.4,stat,0.71875,M
temple097,7.8,movie,0.215733151,F
temple097,7.8,stat,0.65625,F
temple098,8.44,movie,0.173497268,M
temple098,8.44,stat,0.65625,M
temple099,19.88,movie,0.752618397,F
temple099,19.88,stat,0.96875,F
temple103,12.21,movie,0.389230419,M
temple103,12.21,stat,1,M
temple105,18.56,movie,0.603711293,M
temple105,18.56,stat,1,M
temple106,20.19,movie,0.203779599,M
temple106,20.19,stat,0.96875,M
temple107,9.14,movie,0.245901639,F
temple107,9.14,stat,0.875,F
temple108,18.93,movie,0.533128415,M
temple108,18.93,stat,1,M
temple109,11.76,movie,0.358265027,F
temple109,11.76,stat,0.90625,F
temple110,12.74,movie,0.402436248,F
temple110,12.74,stat,1,F
temple111,12.29,movie,0.14571949,F
temple111,12.29,stat,1,F
temple112,10.3,movie,0.312272313,M
temple112,10.3,stat,0.6875,M
temple113,9.91,movie,0.032786885,M
temple113,9.91,stat,0.75,M
temple114,8.8,movie,0.303392532,F
temple114,8.8,stat,0.9375,F
temple115,7.33,movie,0.184198543,F
temple115,7.33,stat,0.53125,F
temple116,7.16,movie,0.208333333,F
temple116,7.16,stat,0.34375,F
temple117,10.65,movie,0.334357923,F
temple117,10.65,stat,0.96875,F
temple119,22.16,movie,0.39742714,M
temple119,22.16,stat,1,M
temple120,20.65,movie,0.451047359,M
temple120,20.65,stat,1,M
temple121,10.94,movie,0.380350638,M
temple121,10.94,stat,1,M
temple122,8.49,movie,0.305441712,F
temple122,8.49,stat,0.6875,F
temple123,19.3,movie,0.41951275,M
temple123,19.3,stat,0.90625,M
temple124,20.35,movie,0.218920765,M
temple124,20.35,stat,1,M
temple125,8.75,movie,0.333105647,F
temple125,8.75,stat,0.3125,F
temple126,10.2,movie,0.130578324,M
temple126,10.2,stat,0.5625,M
temple128,10.7,movie,0.190459927,F
temple128,10.7,stat,1,F
temple129,9.09,movie,0.494535519,F
temple129,9.09,stat,0.71875,F
temple130,8.04,movie,0.459016393,F
temple130,8.04,stat,0.34375,F
temple131,12.42,movie,0.173497268,M
temple131,12.42,stat,0.96875,M
temple132,9.22,movie,0.087090164,F
temple132,9.22,stat,0.5625,F
temple135,7.09,movie,0.236111111,F
temple135,7.09,stat,0.4375,F
temple136,7.25,movie,0.112363388,M
temple136,7.25,stat,0.46875,M
