,subject,age,age_group,run,item_id,triplet_id,beta_path
0,temple056,18.46575342,adult,1,1,1,/scratch/09123/ofriend/movie_scan/sub-temple056/betaseries/betaOUT_collector_run-1_ev-001_MNI.nii.gz
1,temple056,18.46575342,adult,1,2,1,/scratch/09123/ofriend/movie_scan/sub-temple056/betaseries/betaOUT_collector_run-1_ev-002_MNI.nii.gz
2,temple056,18.46575342,adult,1,3,1,/scratch/09123/ofriend/movie_scan/sub-temple056/betaseries/betaOUT_collector_run-1_ev-003_MNI.nii.gz
3,temple056,18.46575342,adult,1,4,2,/scratch/09123/ofriend/movie_scan/sub-temple056/betaseries/betaOUT_collector_run-1_ev-004_MNI.nii.gz
4,temple056,18.46575342,adult,1,5,2,/scratch/09123/ofriend/movie_scan/sub-temple056/betaseries/betaOUT_collector_run-1_ev-005_MNI.nii.gz
5,temple056,18.46575342,adult,1,6,2,/scratch/09123/ofriend/movie_scan/sub-temple056/betaseries/betaOUT_collector_run-1_ev-006_MNI.nii.gz
6,temple056,18.46575342,adult,1,7,3,/scratch/09123/ofriend/movie_scan/sub-temple056/betaseries/betaOUT_collector_run-1_ev-007_MNI.nii.gz
7,temple056,18.46575342,adult,1,8,3,/scratch/09123/ofriend/movie_scan/sub-temple056/betaseries/betaOUT_collector_run-1_ev-008_MNI.nii.gz
8,temple056,18.46575342,adult,1,9,3,/scratch/09123/ofriend/movie_scan/sub-temple056/betaseries/betaOUT_collector_run-1_ev-009_MNI.nii.gz
9,temple056,18.46575342,adult,1,10,4,/scratch/09123/ofriend/movie_scan/sub-temple056/betaseries/betaOUT_collector_run-1_ev-010_MNI.nii.gz
10,temple056,18.46575342,adult,1,11,4,/scratch/09123/ofriend/movie_scan/sub-temple056/betaseries/betaOUT_collector_run-1_ev-011_MNI.nii.gz
11,temple056,18.46575342,adult,1,12,4,/scratch/09123/ofriend/movie_scan/sub-temple056/betaseries/betaOUT_collector_run-1_ev-012_MNI.nii.gz
12,temple056,18.46575342,adult,2,1,1,/scratch/09123/ofriend/movie_scan/sub-temple056/betaseries/betaOUT_collector_run-2_ev-001_MNI.nii.gz
13,temple056,18.46575342,adult,2,2,1,/scratch/09123/ofriend/movie_scan/sub-temple056/betaseries/betaOUT_collector_run-2_ev-002_MNI.nii.gz
14,temple056,18.46575342,adult,2,3,1,/scratch/09123/ofriend/movie_scan/sub-temple056/betaseries/betaOUT_collector_run-2_ev-003_MNI.nii.gz
15,temple056,18.46575342,adult,2,4,2,/scratch/09123/ofriend/movie_scan/sub-temple056/betaseries/betaOUT_collector_run-2_ev-004_MNI.nii.gz
16,temple056,18.46575342,adult,2,5,2,/scratch/09123/ofriend/movie_scan/sub-temple056/betaseries/betaOUT_collector_run-2_ev-005_MNI.nii.gz
17,temple056,18.46575342,adult,2,6,2,/scratch/09123/ofriend/movie_scan/sub-temple056/betaseries/betaOUT_collector_run-2_ev-006_MNI.nii.gz
18,temple056,18.46575342,adult,2,7,3,/scratch/09123/ofriend/movie_scan/sub-temple056/betaseries/betaOUT_collector_run-2_ev-007_MNI.nii.gz
19,temple056,18.46575342,adult,2,8,3,/scratch/09123/ofriend/movie_scan/sub-temple056/betaseries/betaOUT_collector_run-2_ev-008_MNI.nii.gz
