subject,n_pairs,accuracy,auc,precision_within,recall_within,f1_within,tn,fp,fn,tp,mean_score_within,mean_score_across,score_delta_within_minus_across,age,memory,subject_dir,y_true_npy,y_pred_npy,y_score_npy
temple060,66,0.6363636363636364,0.6373456790123457,0.25,0.5,0.3333333333333333,36,18,6,6,0.4541419247131677,0.3120627126321176,0.14207921208105012,10.06575342,,/scratch/09123/ofriend/movie_scan/child_predictions/temple060,/scratch/09123/ofriend/movie_scan/child_predictions/temple060/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple060/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple060/y_score.npy
temple061,66,0.8333333333333334,0.816358024691358,0.5333333333333333,0.6666666666666666,0.5925925925925926,47,7,4,8,0.6568712888139648,0.1534742606329777,0.5033970281809872,11.28767123,,/scratch/09123/ofriend/movie_scan/child_predictions/temple061,/scratch/09123/ofriend/movie_scan/child_predictions/temple061/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple061/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple061/y_score.npy
temple063,66,0.8181818181818182,0.8271604938271606,0.5,0.6666666666666666,0.5714285714285715,46,8,4,8,0.5983786180656863,0.1696641538648787,0.42871446420080755,10.72054795,,/scratch/09123/ofriend/movie_scan/child_predictions/temple063,/scratch/09123/ofriend/movie_scan/child_predictions/temple063/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple063/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple063/y_score.npy
temple064,66,0.7272727272727273,0.6774691358024691,0.3125,0.4166666666666667,0.35714285714285715,43,11,7,5,0.4223335016644341,0.19784806983409703,0.2244854318303371,7.361643836,,/scratch/09123/ofriend/movie_scan/child_predictions/temple064,/scratch/09123/ofriend/movie_scan/child_predictions/temple064/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple064/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple064/y_score.npy
temple065,66,0.7272727272727273,0.603395061728395,0.3333333333333333,0.5,0.4,42,12,6,6,0.4793034563868646,0.24570649257898783,0.23359696380787678,9.452054795,,/scratch/09123/ofriend/movie_scan/child_predictions/temple065,/scratch/09123/ofriend/movie_scan/child_predictions/temple065/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple065/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple065/y_score.npy
temple066,66,0.7424242424242424,0.5617283950617284,0.3076923076923077,0.3333333333333333,0.32,45,9,8,4,0.31328393558393647,0.18412354013561297,0.1291603954483235,9.97260274,,/scratch/09123/ofriend/movie_scan/child_predictions/temple066,/scratch/09123/ofriend/movie_scan/child_predictions/temple066/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple066/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple066/y_score.npy
temple068,66,0.803030303030303,0.7993827160493827,0.4666666666666667,0.5833333333333334,0.5185185185185186,46,8,5,7,0.5985772240374897,0.15464302586943582,0.4439341981680539,9.764383562,,/scratch/09123/ofriend/movie_scan/child_predictions/temple068,/scratch/09123/ofriend/movie_scan/child_predictions/temple068/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple068/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple068/y_score.npy
temple069,66,0.7727272727272727,0.6450617283950618,0.4117647058823529,0.5833333333333334,0.4827586206896552,44,10,5,7,0.5517477795576784,0.17874086703256756,0.37300691252511087,9.673972603,,/scratch/09123/ofriend/movie_scan/child_predictions/temple069,/scratch/09123/ofriend/movie_scan/child_predictions/temple069/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple069/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple069/y_score.npy
temple070,66,0.696969696969697,0.5833333333333334,0.2777777777777778,0.4166666666666667,0.33333333333333337,41,13,7,5,0.4308509391953386,0.2225279737166453,0.20832296547869333,7.473972603,,/scratch/09123/ofriend/movie_scan/child_predictions/temple070,/scratch/09123/ofriend/movie_scan/child_predictions/temple070/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple070/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple070/y_score.npy
temple079,66,0.7121212121212122,0.6450617283950617,0.29411764705882354,0.4166666666666667,0.3448275862068966,42,12,7,5,0.42739976213621844,0.21479381720046753,0.2126059449357509,10.7890411,,/scratch/09123/ofriend/movie_scan/child_predictions/temple079,/scratch/09123/ofriend/movie_scan/child_predictions/temple079/y_true.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple079/y_pred.npy,/scratch/09123/ofriend/movie_scan/child_predictions/temple079/y_score.npy
