subject,age_group,age,n_pairs,accuracy,auc,precision_within,recall_within,f1_within,tn,fp,fn,tp,mean_score_within,mean_score_across,score_delta_within_minus_across
temple060,child,10.06575342,66,0.6363636363636364,0.6373456790123457,0.25,0.5,0.3333333333333333,36,18,6,6,0.4541419247131677,0.3120627126321176,0.1420792120810501
temple061,child,11.28767123,66,0.8333333333333334,0.816358024691358,0.5333333333333333,0.6666666666666666,0.5925925925925926,47,7,4,8,0.6568712888139648,0.1534742606329777,0.5033970281809872
temple063,child,10.72054795,66,0.8181818181818182,0.8271604938271606,0.5,0.6666666666666666,0.5714285714285715,46,8,4,8,0.5983786180656863,0.1696641538648787,0.4287144642008075
temple064,child,7.361643836,66,0.7272727272727273,0.6774691358024691,0.3125,0.4166666666666667,0.3571428571428571,43,11,7,5,0.4223335016644341,0.197848069834097,0.2244854318303371
temple065,child,9.452054795,66,0.7272727272727273,0.603395061728395,0.3333333333333333,0.5,0.4,42,12,6,6,0.4793034563868646,0.2457064925789878,0.2335969638078767
temple066,child,9.97260274,66,0.7424242424242424,0.5617283950617284,0.3076923076923077,0.3333333333333333,0.32,45,9,8,4,0.3132839355839364,0.1841235401356129,0.1291603954483235
temple068,child,9.764383562,66,0.803030303030303,0.7993827160493827,0.4666666666666667,0.5833333333333334,0.5185185185185186,46,8,5,7,0.5985772240374897,0.1546430258694358,0.4439341981680539
temple069,child,9.673972603,66,0.7727272727272727,0.6450617283950618,0.4117647058823529,0.5833333333333334,0.4827586206896552,44,10,5,7,0.5517477795576784,0.1787408670325675,0.3730069125251108
temple070,child,7.473972603,66,0.696969696969697,0.5833333333333334,0.2777777777777778,0.4166666666666667,0.3333333333333333,41,13,7,5,0.4308509391953386,0.2225279737166453,0.2083229654786933
temple079,child,10.7890411,66,0.7121212121212122,0.6450617283950617,0.2941176470588235,0.4166666666666667,0.3448275862068966,42,12,7,5,0.4273997621362184,0.2147938172004675,0.2126059449357509
temple082,child,11.36712329,66,0.6818181818181818,0.6867283950617284,0.2352941176470588,0.3333333333333333,0.2758620689655172,41,13,8,4,0.3791597948646772,0.2476601826442395,0.1314996122204377
temple083,child,12.88767123,66,0.7272727272727273,0.6944444444444445,0.3333333333333333,0.5,0.4,42,12,6,6,0.4910297362084756,0.2114940124140988,0.2795357237943768
temple084,child,8.769863014,66,0.5757575757575758,0.691358024691358,0.2333333333333333,0.5833333333333334,0.3333333333333333,31,23,5,7,0.5860723702927938,0.380372466535194,0.2056999037575997
temple085,child,11.4630137,66,0.6818181818181818,0.6141975308641976,0.2631578947368421,0.4166666666666667,0.3225806451612903,40,14,7,5,0.371643197906903,0.269998500997797,0.1016446969091059
temple090,child,12.52328767,66,0.7424242424242424,0.6404320987654321,0.3684210526315789,0.5833333333333334,0.4516129032258065,42,12,5,7,0.5591080689948923,0.2447713172228046,0.3143367517720876
temple091,child,11.27945205,66,0.7727272727272727,0.7669753086419753,0.4210526315789473,0.6666666666666666,0.5161290322580646,43,11,4,8,0.6394413254838972,0.2058087522990874,0.4336325731848097
temple092,child,8.873972603,66,0.696969696969697,0.5555555555555556,0.2777777777777778,0.4166666666666667,0.3333333333333333,41,13,7,5,0.3676919382967203,0.2344628713827489,0.1332290669139713
temple093,child,10.27671233,66,0.7121212121212122,0.5709876543209876,0.2941176470588235,0.4166666666666667,0.3448275862068966,42,12,7,5,0.3535598941091992,0.2167044002388431,0.1368554938703561
temple094,child,8.375342466,66,0.7727272727272727,0.6419753086419753,0.3636363636363636,0.3333333333333333,0.3478260869565217,47,7,8,4,0.3432225279500225,0.1328167355293837,0.2104057924206387
temple095,child,8.038356164,66,0.7424242424242424,0.6990740740740741,0.3529411764705882,0.5,0.4137931034482758,43,11,6,6,0.4902389591682921,0.2211089086761136,0.2691300504921785
temple096,child,11.40273973,66,0.7878787878787878,0.7608024691358024,0.4375,0.5833333333333334,0.5,45,9,5,7,0.5965022252762472,0.1670781420018715,0.4294240832743756
temple097,child,7.802739726,66,0.7121212121212122,0.691358024691358,0.3333333333333333,0.5833333333333334,0.4242424242424242,40,14,5,7,0.5926010487628306,0.2256354606546021,0.3669655881082284
