subject,age_group,age,n_pairs,accuracy,auc,precision_within,recall_within,f1_within,tn,fp,fn,tp,mean_score_within,mean_score_across,score_delta_within_minus_across
temple060,child,10.06575342,66,0.8787878787878788,0.9197530864197532,0.6428571428571429,0.75,0.6923076923076924,49,5,3,9,0.7322711308067484,0.1098017504759488,0.6224693803307996
temple061,child,11.28767123,66,0.8181818181818182,0.8256172839506173,0.5,0.75,0.6,45,9,3,9,0.7018487688345144,0.1856003927620017,0.5162483760725127
temple063,child,10.72054795,66,0.8181818181818182,0.8518518518518519,0.5,0.5833333333333334,0.5384615384615384,47,7,5,7,0.6030961602183008,0.1360111023798834,0.4670850578384173
temple064,child,7.361643836,66,0.6666666666666666,0.5077160493827161,0.2222222222222222,0.3333333333333333,0.2666666666666666,40,14,8,4,0.3100628335588708,0.2417521681346726,0.0683106654241981
temple065,child,9.452054795,66,0.7575757575757576,0.5987654320987654,0.1666666666666666,0.0833333333333333,0.1111111111111111,49,5,11,1,0.1429989133659966,0.1351123281334938,0.0078865852325027
temple066,child,9.97260274,66,0.803030303030303,0.7947530864197532,0.4705882352941176,0.6666666666666666,0.5517241379310345,45,9,4,8,0.5932810153287419,0.1745749334921689,0.418706081836573
temple068,child,9.764383562,66,0.803030303030303,0.7746913580246912,0.4615384615384615,0.5,0.48,47,7,6,6,0.5272847039739349,0.1464818955029638,0.380802808470971
temple069,child,9.673972603,66,0.7121212121212122,0.5802469135802469,0.2941176470588235,0.4166666666666667,0.3448275862068966,42,12,7,5,0.4015210594697975,0.2156207232621841,0.1859003362076134
temple070,child,7.473972603,66,0.7878787878787878,0.6543209876543209,0.4285714285714285,0.5,0.4615384615384615,46,8,6,6,0.4685159106614633,0.1491635919930865,0.3193523186683769
temple079,child,10.7890411,66,0.7878787878787878,0.7762345679012346,0.4285714285714285,0.5,0.4615384615384615,46,8,6,6,0.5242145237565652,0.1794512733357929,0.3447632504207722
temple082,child,11.36712329,66,0.7727272727272727,0.7762345679012346,0.4210526315789473,0.6666666666666666,0.5161290322580646,43,11,4,8,0.5701545425272272,0.1861722592770707,0.3839822832501565
temple083,child,12.88767123,66,0.8333333333333334,0.8641975308641975,0.5333333333333333,0.6666666666666666,0.5925925925925926,47,7,4,8,0.6344257816965965,0.1280872274413737,0.5063385542552227
temple084,child,8.769863014,66,0.7121212121212122,0.7175925925925926,0.2666666666666666,0.3333333333333333,0.2962962962962963,43,11,8,4,0.3311972172592067,0.1815855872641708,0.1496116299950359
temple085,child,11.4630137,66,0.7878787878787878,0.7191358024691359,0.4,0.3333333333333333,0.3636363636363636,48,6,8,4,0.4115279527664851,0.1375365177805355,0.2739914349859494
temple090,child,12.52328767,66,0.7727272727272727,0.6111111111111112,0.3846153846153846,0.4166666666666667,0.4,46,8,7,5,0.4081281033721707,0.1746756507440467,0.2334524526281239
temple091,child,11.27945205,66,0.8181818181818182,0.7561728395061729,0.5,0.5833333333333334,0.5384615384615384,47,7,5,7,0.5463445473112402,0.1766167518468744,0.3697277954643657
temple092,child,8.873972603,66,0.8181818181818182,0.683641975308642,0.5,0.5833333333333334,0.5384615384615384,47,7,5,7,0.5051960832657362,0.1651495456499557,0.3400465376157804
temple093,child,10.27671233,66,0.8484848484848485,0.8055555555555556,0.5833333333333334,0.5833333333333334,0.5833333333333334,49,5,5,7,0.564923245532812,0.1212076758087565,0.4437155697240555
temple094,child,8.375342466,66,0.803030303030303,0.728395061728395,0.4666666666666667,0.5833333333333334,0.5185185185185186,46,8,5,7,0.5612482951200924,0.156093337231304,0.4051549578887884
temple095,child,8.038356164,66,0.8181818181818182,0.7762345679012347,0.5,0.5,0.5,48,6,6,6,0.5475933829484236,0.1325974335431053,0.4149959494053182
temple096,child,11.40273973,66,0.7575757575757576,0.6635802469135803,0.3571428571428571,0.4166666666666667,0.3846153846153846,45,9,7,5,0.3699088407859548,0.195223598898501,0.1746852418874537
temple097,child,7.802739726,66,0.7121212121212122,0.7731481481481483,0.3157894736842105,0.5,0.3870967741935484,41,13,6,6,0.5667348048508382,0.2178998557382452,0.3488349491125929
temple098,child,8.438356164,66,0.6515151515151515,0.6126543209876544,0.2105263157894736,0.3333333333333333,0.2580645161290323,39,15,8,4,0.3552964062414934,0.2859414102251774,0.0693549960163159
