subject,age_group,age,run,n_pairs,auc,accuracy,precision_within,recall_within,f1_within,tn,fp,fn,tp
temple056,adult,18.46575342,1,66,0.7453703703703705,0.7424242424242424,0.35294117647058826,0.5,0.41379310344827586,43,11,6,6
temple056,adult,18.46575342,2,66,0.6003086419753086,0.7575757575757576,0.35714285714285715,0.4166666666666667,0.3846153846153846,45,9,7,5
temple056,adult,18.46575342,3,66,0.7793209876543209,0.7575757575757576,0.3888888888888889,0.5833333333333334,0.4666666666666666,43,11,5,7
temple056,adult,18.46575342,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple057,adult,20.61369863,1,66,0.6805555555555556,0.803030303030303,0.45454545454545453,0.4166666666666667,0.43478260869565216,48,6,7,5
temple057,adult,20.61369863,2,66,0.5864197530864198,0.7575757575757576,0.3333333333333333,0.3333333333333333,0.3333333333333333,46,8,8,4
temple057,adult,20.61369863,3,66,0.7561728395061729,0.803030303030303,0.4666666666666667,0.5833333333333334,0.5185185185185186,46,8,5,7
temple057,adult,20.61369863,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple058,adult,21.49041096,1,66,0.6805555555555555,0.7575757575757576,0.375,0.5,0.42857142857142855,44,10,6,6
temple058,adult,21.49041096,2,66,0.6805555555555556,0.7727272727272727,0.4,0.5,0.4444444444444445,45,9,6,6
temple058,adult,21.49041096,3,66,0.7391975308641976,0.7727272727272727,0.4,0.5,0.4444444444444445,45,9,6,6
temple058,adult,21.49041096,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple059,adult,20.25753425,1,66,0.6064814814814815,0.7272727272727273,0.3333333333333333,0.5,0.4,42,12,6,6
temple059,adult,20.25753425,2,66,0.7037037037037037,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.26666666666666666,40,14,8,4
temple059,adult,20.25753425,3,66,0.7083333333333333,0.8181818181818182,0.5,0.3333333333333333,0.4,50,4,8,4
temple059,adult,20.25753425,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple071,adult,27.30684932,1,66,0.837962962962963,0.7878787878787878,0.4444444444444444,0.6666666666666666,0.5333333333333333,44,10,4,8
temple071,adult,27.30684932,2,66,0.7268518518518519,0.7727272727272727,0.38461538461538464,0.4166666666666667,0.4,46,8,7,5
temple071,adult,27.30684932,3,66,0.6003086419753086,0.7424242424242424,0.3076923076923077,0.3333333333333333,0.32,45,9,8,4
temple071,adult,27.30684932,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple072,adult,19.53150685,1,66,0.6373456790123457,0.7121212121212122,0.26666666666666666,0.3333333333333333,0.2962962962962963,43,11,8,4
temple072,adult,19.53150685,2,66,0.7962962962962963,0.7121212121212122,0.3157894736842105,0.5,0.3870967741935484,41,13,6,6
temple072,adult,19.53150685,3,66,0.7608024691358024,0.6818181818181818,0.32,0.6666666666666666,0.43243243243243246,37,17,4,8
temple072,adult,19.53150685,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple073,adult,32.16712329,1,66,0.7592592592592593,0.8333333333333334,0.5454545454545454,0.5,0.5217391304347826,49,5,6,6
temple073,adult,32.16712329,2,66,0.7654320987654322,0.8636363636363636,0.6363636363636364,0.5833333333333334,0.6086956521739131,50,4,5,7
temple073,adult,32.16712329,3,66,0.6743827160493827,0.7575757575757576,0.35714285714285715,0.4166666666666667,0.3846153846153846,45,9,7,5
temple073,adult,32.16712329,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple074,adult,20.21369863,1,66,0.7962962962962963,0.7424242424242424,0.3333333333333333,0.4166666666666667,0.3703703703703704,44,10,7,5
temple074,adult,20.21369863,2,66,0.6527777777777777,0.7272727272727273,0.2857142857142857,0.3333333333333333,0.30769230769230765,44,10,8,4
temple074,adult,20.21369863,3,66,0.6512345679012346,0.7424242424242424,0.3333333333333333,0.4166666666666667,0.3703703703703704,44,10,7,5
temple074,adult,20.21369863,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple075,adult,20.36712329,1,66,0.7592592592592593,0.7878787878787878,0.45,0.75,0.5625000000000001,43,11,3,9
temple075,adult,20.36712329,2,66,0.787037037037037,0.8484848484848485,0.625,0.4166666666666667,0.5,51,3,7,5
temple075,adult,20.36712329,3,66,0.8348765432098766,0.8939393939393939,0.6923076923076923,0.75,0.7199999999999999,50,4,3,9
temple075,adult,20.36712329,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple076,adult,21.24931507,1,66,0.7175925925925926,0.803030303030303,0.46153846153846156,0.5,0.48000000000000004,47,7,6,6
temple076,adult,21.24931507,2,66,0.7515432098765432,0.8484848484848485,0.5625,0.75,0.6428571428571429,47,7,3,9
temple076,adult,21.24931507,3,66,0.8287037037037037,0.8484848484848485,0.5714285714285714,0.6666666666666666,0.6153846153846153,48,6,4,8
temple076,adult,21.24931507,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple087,adult,23.23013699,1,66,0.7916666666666667,0.7727272727272727,0.4,0.5,0.4444444444444445,45,9,6,6
temple087,adult,23.23013699,2,66,0.5787037037037037,0.7878787878787878,0.4166666666666667,0.4166666666666667,0.4166666666666667,47,7,7,5
temple087,adult,23.23013699,3,66,0.683641975308642,0.696969696969697,0.2777777777777778,0.4166666666666667,0.33333333333333337,41,13,7,5
temple087,adult,23.23013699,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple088,adult,21.84657534,1,66,0.5895061728395061,0.696969696969697,0.2777777777777778,0.4166666666666667,0.33333333333333337,41,13,7,5
temple088,adult,21.84657534,2,66,0.8734567901234568,0.8484848484848485,0.5625,0.75,0.6428571428571429,47,7,3,9
temple088,adult,21.84657534,3,66,0.6466049382716049,0.7272727272727273,0.2857142857142857,0.3333333333333333,0.30769230769230765,44,10,8,4
temple088,adult,21.84657534,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple089,adult,19.3369863,1,66,0.7746913580246914,0.8181818181818182,0.5,0.6666666666666666,0.5714285714285715,46,8,4,8
temple089,adult,19.3369863,2,66,0.8132716049382716,0.8787878787878788,0.7,0.5833333333333334,0.6363636363636365,51,3,5,7
temple089,adult,19.3369863,3,66,0.6111111111111112,0.696969696969697,0.25,0.3333333333333333,0.28571428571428575,42,12,8,4
temple089,adult,19.3369863,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple099,adult,19.88493151,1,66,0.6435185185185185,0.8181818181818182,0.5,0.4166666666666667,0.45454545454545453,49,5,7,5
temple099,adult,19.88493151,2,66,0.779320987654321,0.7272727272727273,0.35,0.5833333333333334,0.4375,41,13,5,7
temple099,adult,19.88493151,3,66,0.7191358024691358,0.7575757575757576,0.35714285714285715,0.4166666666666667,0.3846153846153846,45,9,7,5
temple099,adult,19.88493151,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple105,adult,18.55890411,1,66,0.566358024691358,0.7121212121212122,0.23076923076923078,0.25,0.24000000000000002,44,10,9,3
temple105,adult,18.55890411,2,66,0.7669753086419754,0.7727272727272727,0.42857142857142855,0.75,0.5454545454545454,42,12,3,9
temple105,adult,18.55890411,3,66,0.6666666666666666,0.696969696969697,0.3,0.5,0.37499999999999994,40,14,6,6
temple105,adult,18.55890411,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple106,adult,20.19178082,1,66,0.8364197530864197,0.8333333333333334,0.5454545454545454,0.5,0.5217391304347826,49,5,6,6
temple106,adult,20.19178082,2,66,0.7685185185185185,0.7575757575757576,0.3333333333333333,0.3333333333333333,0.3333333333333333,46,8,8,4
temple106,adult,20.19178082,3,66,0.5817901234567902,0.7424242424242424,0.3076923076923077,0.3333333333333333,0.32,45,9,8,4
temple106,adult,20.19178082,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple108,adult,18.93150685,1,66,0.7361111111111112,0.7727272727272727,0.38461538461538464,0.4166666666666667,0.4,46,8,7,5
temple108,adult,18.93150685,2,66,0.6018518518518519,0.7272727272727273,0.3125,0.4166666666666667,0.35714285714285715,43,11,7,5
temple108,adult,18.93150685,3,66,0.7067901234567902,0.7727272727272727,0.38461538461538464,0.4166666666666667,0.4,46,8,7,5
temple108,adult,18.93150685,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple119,adult,22.16438356,1,66,0.7716049382716049,0.803030303030303,0.46153846153846156,0.5,0.48000000000000004,47,7,6,6
temple119,adult,22.16438356,2,66,0.6712962962962963,0.8181818181818182,0.5,0.4166666666666667,0.45454545454545453,49,5,7,5
temple119,adult,22.16438356,3,66,0.6296296296296295,0.7121212121212122,0.26666666666666666,0.3333333333333333,0.2962962962962963,43,11,8,4
temple119,adult,22.16438356,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple120,adult,20.65479452,1,66,0.8410493827160495,0.8484848484848485,0.6,0.5,0.5454545454545454,50,4,6,6
temple120,adult,20.65479452,2,66,0.7716049382716048,0.7878787878787878,0.42857142857142855,0.5,0.4615384615384615,46,8,6,6
temple120,adult,20.65479452,3,66,0.5015432098765432,0.6363636363636364,0.16666666666666666,0.25,0.2,39,15,9,3
temple120,adult,20.65479452,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple123,adult,19.30136986,1,66,0.6913580246913581,0.7272727272727273,0.2857142857142857,0.3333333333333333,0.30769230769230765,44,10,8,4
temple123,adult,19.30136986,2,66,0.8101851851851851,0.7424242424242424,0.3684210526315789,0.5833333333333334,0.4516129032258065,42,12,5,7
temple123,adult,19.30136986,3,66,0.6496913580246914,0.7424242424242424,0.3076923076923077,0.3333333333333333,0.32,45,9,8,4
temple123,adult,19.30136986,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple124,adult,20.35068493,1,66,0.8364197530864197,0.7878787878787878,0.4375,0.5833333333333334,0.5,45,9,5,7
temple124,adult,20.35068493,2,66,0.7037037037037037,0.696969696969697,0.25,0.3333333333333333,0.28571428571428575,42,12,8,4
temple124,adult,20.35068493,3,66,0.7885802469135803,0.8181818181818182,0.5,0.5,0.5,48,6,6,6
temple124,adult,20.35068493,4,66,1.0,1.0,1.0,1.0,1.0,54,0,0,12
temple060,child,10.06575342,1,66,0.6342592592592593,0.7272727272727273,0.3125,0.4166666666666667,0.35714285714285715,43,11,7,5
temple060,child,10.06575342,2,66,0.6080246913580247,0.7121212121212122,0.29411764705882354,0.4166666666666667,0.3448275862068966,42,12,7,5
temple060,child,10.06575342,3,66,0.6867283950617284,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.26666666666666666,40,14,8,4
temple060,child,10.06575342,4,66,0.9197530864197531,0.8787878787878788,0.6428571428571429,0.75,0.6923076923076924,49,5,3,9
temple061,child,11.28767123,1,66,0.648148148148148,0.7424242424242424,0.35294117647058826,0.5,0.41379310344827586,43,11,6,6
temple061,child,11.28767123,2,66,0.6327160493827161,0.7272727272727273,0.2857142857142857,0.3333333333333333,0.30769230769230765,44,10,8,4
temple061,child,11.28767123,3,66,0.7191358024691358,0.7878787878787878,0.42857142857142855,0.5,0.4615384615384615,46,8,6,6
temple061,child,11.28767123,4,66,0.8256172839506173,0.8181818181818182,0.5,0.75,0.6,45,9,3,9
temple063,child,10.72054795,1,66,0.5570987654320988,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.26666666666666666,40,14,8,4
temple063,child,10.72054795,2,66,0.8626543209876543,0.8484848484848485,0.5714285714285714,0.6666666666666666,0.6153846153846153,48,6,4,8
temple063,child,10.72054795,3,66,0.5864197530864198,0.6818181818181818,0.23529411764705882,0.3333333333333333,0.27586206896551724,41,13,8,4
